,video_id,publish_date,view_count,title,description,tags,likes,favorites,comment_count
0,aRNzWyD7C9o,2005-12-13T00:36:37Z,12455969,5 feet,"Talent show Dance
 cy ridge high school
 houston TX
 1.Lil Wayne - Fireman
 2. Jkwon - Hood Hop
 3. Cassie - Me And You
 4. Mashonda - Back of the Club
 5. Ying Yang Twins ft. Pitbull - Shake
 6. Missy Elliot ft. Ciara - Lose Control
 7. Ciara - Goodies
 8. Ebony Eyes - In Ya Face
 -notes-
 5 feet because they're all 5ft. tall
 won 1st place in the talent show
 all girls are asian
 send me your 5feet versions of this videos(if yall make them)
 do not ask for the mix",cy|ridge|dance|cool|hip|hop|girls|talent|show,41350,0,4492
1,3jLRNiK6oWY,2007-02-08T20:53:51Z,7836451,Ashley Tisdale - Be Good To Me,"Ashley Tisdale ""Be Good To Me"" Official Music Video shot from live footage off of the High School Musical tour. Headstrong - album in stores now! Warner Bros. Records www.ashleymusic.com  Join Ashley's Fan Rewards! http://bit.ly/ASHFanRewards",Ashley|Tisdale|Be|Good|To|Me|Headstrong|High|School|Musical,45696,0,4432
2,oDd0u1bj4ro,2007-01-04T06:26:05Z,29208,Ask A Gay Man: Shower Edition,I was taking a nice hot shower when my friend bursts in on me and rips me to shreds. Someone please helppp meee...,gay|fag|nipple|wii|ps3|harry|potter|sex|nude|hot|women|men|girls|tub|hockey|tan|beach|bitch|snow|dick|penis|pussy|cock,12,0,0
3,VWCKN5Agp34,2005-10-31T07:49:53Z,150402,Otaku Sex,This is why so many older men love anime!,otaku|sex|anime|love|pillow|japan|funny|humor|densha|otoko,181,0,38
4,j881SPE_x60,2006-07-15T23:12:25Z,47858,Anime Chicks,Hot and Sexy Anime Girls livin it up,Anime,220,0,13
5,mrtnBl7GmWM,2006-12-05T18:14:15Z,155339,Missy shutup Brookers : ) . .. ...(R:TheBlahWagon brooke leg,"Missy shut up Brooke in the ""OH GingerSnapz"" video.",brooke|missy|leg|viral|videos|carp|blah|blagh|ick|brookers|spaz|case|crazy|haha|pickle|prudence|bologna|sandwhiches|777|aquatic|insect|dog|bird|cat|hamster|wildlife|reptile|rabbit|advice|wisdom|community|video|blog|dating|random|personals|federal|government|state|nonprofit|regional|grassroots|outreach|public|service|announcements|local|finance|health|arts|crafts|sports|dance|gardening|food|fashion|music|beauty|drink|home|technology|fitness|airplane|motorcycle|motor|sport|auto|boat|train,209,0,53
6,YKYERdJWNOQ,2006-07-08T04:30:32Z,1238007,Sex Project,"The chick in this video is so freaking hot you have to see this. If you like hot chicks and like having sex then you will love this video. You will get off on this video so many times its ridiculous. Dont take my word for it, watch it. 
 P.S.                        If you read this whole thing you will realize that I'm only putting this on here to see if I can get 300,000 perverts to view it. So if you did...YOU GOT OWNED. Haha perv!",sex|project|porn|naked|boobs|nude|pussy|hardcore|girl|hot|chick|porno,619,0,63
7,5lZjlaDwAAc,2006-03-05T06:35:10Z,56670,Axe: Unleash the Beast,This ain't your grandpa's Old Spice. A short by JoeyandDavid.com,comedy|commercial|spoof|axe|sketch|joey|and|david,71,0,24
8,Ggg0bsUfLBk,2006-09-04T18:40:21Z,922318,Very Funny Banned Commercial - Flavored Condoms,Want to download this/any other youtube video for free?  Go HERE - http://bestdealsonthenet.org/youtubedownloader,Funny|Banned|Commercial|Flavored|Condoms|humor|hilarious|comedy|http://failpictures.net,43205,0,318
9,3AtsWhvbeIE,2006-06-21T21:44:35Z,144565,banned commercial - fruit flavored condoms,very funny comercial...,condoms|banned|commercial|commercials|funny|flavored,263,0,52
